BGGId,Rating,Username
266192,9.0,3032
26990,8.5,626
171131,8.0,2401
357,6.0,7571
1917,6.0,3822
285773,4.0,5047
394,7.0,5685
2511,8.0,3647
205398,10.0,4434
7854,8.0,3954
3076,8.0,3661
224517,7.5,4384
17449,6.5,4535
166384,8.5,3969
145654,7.0,5183
150999,7.0,6808
175621,6.0,1583
21754,4.0,3960
219513,8.5,7061
271324,6.0,5434
247367,5.0,344
175914,9.0,788
164153,9.0,1007
503,8.0,346
164949,9.0,2473
170042,7.4,387
198670,5.0,2509
191110,2.0,6895
35035,7.0,2087
184346,6.0,5693
108722,7.0,1024
117995,7.0,7094
244521,7.0,7500
70919,5.0,1970
21523,8.0,5462
178900,8.0,6166
254640,8.0,4543
403,6.0,1234
137988,7.0,5501
5728,10.0,420
101785,7.0,7500
39940,9.0,2522
341416,7.5,7233
68387,8.0,3346
233247,8.0,6224
134726,10.0,4249
88,7.0,3724
157354,5.0,6708
83734,10.0,420
103885,8.0,3040
34583,5.0,4645
118174,7.0,2964
822,8.0,5871
1927,9.0,6605
161936,9.0,7451
14996,7.0,1337
27627,6.0,5563
223953,5.0,19
128621,8.0,10
184267,9.0,7864
9220,6.0,1490
155426,8.0,7999
196340,9.5,197
180592,5.0,1848
235488,7.0,2566
77130,5.0,1045
120677,9.0,2964
287198,6.0,2611
172225,5.0,1275
527,5.0,2117
21050,4.0,2578
161290,5.0,6455
133473,8.0,2089
8217,6.5,4721
123607,10.0,3378
5,10.0,2113
104006,8.0,7181
42215,7.0,7189
13,8.0,2155
163602,4.0,656
1294,5.0,2117
233960,3.0,1956
159109,7.0,1241
34887,4.5,3982
9440,4.0,4425
102794,9.0,3893
9209,5.0,5037
233398,7.5,5529
176189,6.5,629
239883,7.0,724
1115,5.0,2494
282524,9.0,5493
41835,6.5,2113
327,6.0,1941
1927,7.0,4031
1353,7.0,4639
161936,10.0,6961
244995,6.0,2942
132531,8.0,5944
156442,6.0,3885
126042,8.0,2566
2887,6.0,5621
237182,7.0,4894
232988,7.0,5887
35285,7.0,1300
281442,8.6,6115
170624,7.0,6519
84876,7.0,3346
144239,8.0,7806
250309,7.0,5897
207568,7.0,7552
93260,9.0,171
24068,6.0,2930
28143,7.0,2233
38453,8.0,4339
40834,7.5,143
129622,7.0,6387
70919,7.5,3973
146886,8.0,4535
344,6.0,3568
10547,7.0,6392
1406,5.0,5405
21920,6.0,626
68448,8.0,2768
25261,6.0,3029
12942,7.5,3973
229265,8.0,5436
77423,5.0,7636
169124,4.0,2611
181761,6.5,5413
25292,8.5,626
244115,8.0,5648
245638,7.5,5041
256382,7.0,4348
128938,9.0,4312
16498,7.0,1253
230802,7.0,3947
148949,7.0,981
175095,9.0,402
27162,7.0,2361
34310,10.0,420
82168,7.0,2024
155731,7.0,5669
2651,4.0,3621
168609,7.0,7471
71721,8.0,4295
155463,5.5,1306
256320,5.0,4230
43443,9.5,4411
3870,7.0,3136
205637,9.5,7020
256066,6.0,2509
246761,8.0,4021
175223,7.0,2117
142503,7.0,5670
176494,7.0,7533
186295,4.0,3513
230802,6.0,2902
275467,9.0,1253
94,8.0,149
521,7.8,4274
204675,8.0,3065
634,4.0,5258
225694,9.0,3634
154809,9.0,1685
40834,8.0,2593
30549,7.2,6364
155969,7.0,3143
32944,7.6,3982
5697,4.0,3621
188920,6.0,2378
5296,10.0,420
258,7.0,6784
160499,6.5,1917
70323,7.0,6938
245961,7.0,5816
194655,8.5,3559
1558,7.0,5895
126163,7.0,5561
28143,9.0,5778
194655,10.0,4562
14105,8.5,4694
276925,8.0,2585
